"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_promote_standby","Test promoting the standby cluster."
"unknown","","","","tests.integration.ha_tests","test_async_replication","","","","test_switchover","Test switching over to the second cluster."
"passed","Sat Jun 15 02:25:56 UTC 2024","Sat Jun 15 02:43:25 UTC 2024","1049311","tests.integration","test_subordinates","","","","test_deploy",""
"passed","Sat Jun 15 02:26:13 UTC 2024","Sat Jun 15 02:26:32 UTC 2024","19274","tests.integration","test_tls","","","","test_deploy_active","Build the charm and deploy it."
"passed","Sat Jun 15 03:02:11 UTC 2024","Sat Jun 15 03:09:00 UTC 2024","409664","tests.integration","test_charm","","","","test_persist_data_through_primary_deletion","Test data persists through a primary deletion."
"skipped","Sat Jun 15 01:52:00 UTC 2024","Sat Jun 15 01:52:00 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_storage_re_use","Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    "
"unknown","","","","tests.integration.new_relations","test_new_relations","","","","test_deploy_charms","Deploy both charms (application and database) to use in the tests."
"passed","Sat Jun 15 02:42:12 UTC 2024","Sat Jun 15 02:47:11 UTC 2024","299575","tests.integration","test_password_rotation","","","","test_password_rotation","Test password rotation action."
"passed","Sat Jun 15 03:08:53 UTC 2024","Sat Jun 15 03:10:42 UTC 2024","108809","tests.integration","test_db","","","","test_roles_blocking",""
"unknown","","","","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"passed","Sat Jun 15 02:26:00 UTC 2024","Sat Jun 15 02:42:16 UTC 2024","976447","tests.integration","test_plugins","","","","test_plugins","Build and deploy one unit of PostgreSQL and then test the available plugins."
"passed","Sat Jun 15 02:42:14 UTC 2024","Sat Jun 15 02:42:16 UTC 2024","2064","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"passed","Sat Jun 15 02:44:32 UTC 2024","Sat Jun 15 03:02:11 UTC 2024","1059201","tests.integration","test_charm","","","","test_scale_down_and_up","Test data is replicated to new units after a scale up."
